ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
509,Renault SA,IFRS,Con,USD,EUR - USD 0.8237,49842.18,0,5244.63,0.1,5526.28,2294.52,16464.73,35260.41,44410.59,46663.83,6027.68,4754.16,3048.44,610.66,1095.06,517.18,44410.59,-31.56,9.64,7.05,-15,8.72,7.75,7.74,BBB-
510,Rio Tinto Plc,Local GAAP,Con,USD,USD - USD 1.0000,47664,-0.06,17867,0.37,18296,6527,12423,2684,25219,28651,12767,14286,8162,3710,2414,-887,25219,0,14.01,10.05,-23.63,18.2,1.57,1.41,A-
511,Rolls-Royce Holdings plc,Local GAAP,Con,USD,GBP - USD 0.8129,16955.35,0.03,2135.56,0.12,2369.3,-4960.02,2178.62,211.59,4129.66,5999.51,1225.24,1393.78,1240,370.28,-216.51,-1.23,4129.66,-24.6,12.69,4.58,-35.81,21.55,2.44,1.85,A-
512,Rostelecom PJSC,IFRS,Con,USD,RUB - USD 56.2584,5526.59,-0.04,1873.07,0.33,1981.25,725.88,301.2,926.83,3377.52,4026.6,1551.39,1545.48,1025.02,129.65,390.8,2.51,3377.52,-242.99,6.45,4.94,-11.8,7.06,1.92,1.7,BBB-
513,Royal DSM N.V.,IFRS,Con,USD,EUR - USD 0.9487,8348.27,-0.11,1330.24,0.15,1362.92,654.58,1515.76,899.13,3589.12,3973.86,1064.61,970.8,521.77,200.27,252.98,-95.92,3589.12,-143.35,7.26,6.21,-13.68,8.48,2.88,2.66,A-
514,Royal Philips ,Local GAAP,Con,USD,EUR - USD 0.7579,32706.16,0.09,3249.77,0.09,3376.43,298.19,5058.71,1067.42,5982.32,6995.65,2184.98,2900.12,942.08,336.46,1621.59,298.19,5982.32,-1013.33,7.93,5.94,-11.81,10.35,2.06,1.83,A-
515,Rumo S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,1323.22,0.03,482.02,0.36,482.02,-326.29,361.25,661.08,3140.04,3140.04,100.09,86.62,454.16,0.24,-367.78,0,3140.04,252.14,1.2,1.2,-3.8,1.7,6.5,6.5,BB-
516,Seagate Technology Public Limited Company,U.S. GAAP,Con,USD,USD - USD 1.0000,10771,-0.03,2118,0.19,2147,772,2539,0,5072,5304,1690,1919,434,561,924,0,5072,-374,10.76,9.35,-11.63,12.31,2.47,2.4,BBB-
517,Shimao Property Holdings Limited,IFRS,Con,USD,CNY - USD 6.8282,2494.38,1.36,689.42,0.27,698.51,527.66,1013.3,575.89,3006.19,3078.95,401.69,576.51,199.95,104.92,271.64,493.91,3006.19,258.75,4.28,4.11,-5.33,4.08,4.44,4.4,BBB-
518,Sinochem Hong Kong (Group) Company Limited,IFRS,Con,USD,HKD - USD 7.7540,41218.64,-0.05,1471,0.03,1479.59,-339.49,3052.53,2592.63,11706.17,11774.86,2528.19,1587.09,223.49,117.33,1313.57,386.11,11706.17,147.74,4.72,4.67,-3.65,3.34,6.04,6.04,A-
519,Sistema Public Joint Stock Financial Corporation,IFRS,Noncon,USD,RUB - USD 72.8827,9723.03,0.09,2189.63,0.22,2675.78,-211.81,3355.91,2858.58,8540.35,11457.26,1800.4,2070.18,1910.23,60.69,99.26,240.08,8540.35,-6.26,3.34,2.35,-6.14,2.89,4.77,4.46,BB-
520,"SK Broadband Co., Ltd.",Local GAAP,Con,USD,KRW - USD 1099.3000,2414.61,0.04,498.17,0.2,498.89,3.92,18.61,393.96,1330.53,1336.28,482.44,392.76,545.52,0,-152.76,0,1330.53,0,11.74,11.58,-21.3,10.16,2.68,2.67,A-
521,"SK Telecom Co., Ltd",IFRS,Con,USD,KRW - USD 1055.4000,15730.58,0.02,4586.79,0.29,4617.9,1379.31,1543,1252.25,6192.1,6252.24,4290.73,3371.77,2958.39,621.51,-208.14,-63.5,6380.9,0,15.88,14.41,-24.13,16.16,1.39,1.35,A-
522,Sky plc,IFRS,Con,USD,GBP - USD 0.6362,15701.04,0.34,3190.82,0.2,3530.34,2093.68,3895,776.49,11939.64,13976.74,2733.42,3050.93,1166.3,862.94,562.72,10480.98,11939.64,2112.54,8.03,4.75,-11.37,8.35,3.92,3.7,BBB-
523,"SPP - distribucia, a.s.",IFRS,Noncon,USD,EUR - USD 0.8237,417.14,-0.07,277.72,0.66,284.05,118.38,392.19,69.02,832.68,883.28,232.38,242.11,19.16,640.45,-417.49,0,832.68,0,185.04,30.88,-29.31,226.5,3.11,3,A-
524,"Stanley Black & Decker, Inc.",U.S. GAAP,Noncon,USD,USD - USD 1.0000,11406.9,0,1935.6,0.16,2059.8,965.3,131.8,12.1,3260.2,3678.8,1446.9,1485.2,336.4,330.9,817.9,35.3,3835.2,30.6,9.06,5.73,-12.32,10.96,2.06,1.68,A-
525,Starbucks Corporation,U.S. GAAP,Noncon,USD,USD - USD 1.0000,21315.9,0.11,5101.9,0.23,6325.1,2817.7,2128.8,400,3600,13385.6,4651.3,4575.1,1440.3,1178,1956.8,0,3600,-1834.9,61.82,4.5,-97.19,71.29,2.04,0.68,A-
526,STMicroelectronics N.V.,U.S. GAAP,Con,USD,USD - USD 1.0000,6973,0.01,1003,0.14,1059,165,1964,117,1522,1970,828,1033,649,251,133,78,1522,0,64.69,13,-85.1,76.69,1.87,1.53,BBB-
527,Sukhoi Civil Aircraft JSC,IFRS,Con,USD,USD - USD 1.0000,726.85,0.28,-9.88,-0.01,-5.95,-475.47,98.17,371.21,490.63,514.26,13.83,-283.95,68.26,0,-352.21,0,490.63,1764.99,1.44,1.38,-0.31,-0.38,-86.47,-49.63,BB-
528,Sunac China Holdings Limited,Local GAAP,Con,USD,CNY - USD 6.9498,5085.54,0.53,1184.18,0.23,1187.22,400.17,9286.77,4697.16,17710.48,19841.34,301.52,165.61,5.17,119.89,65.54,4746.25,17710.48,1777,1.45,1.45,-1.86,2.24,16.61,14.87,BB-
529,Swire Pacific Limited,IFRS,Con,USD,HKD - USD 7.7505,7855.62,0,1827.88,0.23,1978.97,1732.66,1159.28,968.97,8853.24,10061.93,1381.85,1411.13,1022.26,760.98,-372.11,50.19,8853.24,-203.34,5.15,3.83,-8.69,5.92,4.84,4.59,A-
530,"Tapestry, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,4488.3,0,1099,0.24,1523.5,591,1630.47,0,1600,4996,944.9,853.8,283.1,378,192.7,-1.8,1600,70.4,27.69,3.06,-63.61,31.05,3.28,1.46,BBB-
531,Target Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,69495,-0.05,7376,0.1,7578,2669,2512,1718,12860,14476,5579,5329,1547,1348,2541,-46,12860,-3485,6.58,5.64,-9.27,7.38,1.91,1.74,A-
532,Taylor Wimpey plc,IFRS,Con,USD,GBP - USD 0.6748,4652.93,0.16,938.8,0.2,941.76,724.96,242,0,148.19,171.9,883.67,605.07,10.52,457.02,137.52,-23.12,148.19,-2.96,42.08,37.1,-55.47,43.74,0.18,0.16,BBB-
533,TDC A/S,IFRS,Con,USD,DKK - USD 7.0528,2981.94,-0.04,1203.49,0.4,1322.17,279.04,275.92,31.48,3807.71,4363.52,920.34,941.75,631.52,0,371.2,20.56,4201.31,0.99,6.75,4.3,-17.63,7.55,3.59,3.16,BBB-
534,TE Connectivity,U.S. GAAP,Con,USD,USD - USD 1.0000,12238,0,2607,0.21,2750,1941,647,331,4060.3,5204.3,1991,2019,628,509,785,995,4060.3,-2697,17.86,8.59,-26.6,22.28,1.89,1.56,A-
535,Techem GmbH,IFRS,Noncon,USD,EUR - USD 0.9354,836.77,0.05,324.68,0.38,348.78,70.56,152.83,2.65,1449.3,1642.07,197.39,194.92,138.32,117.6,-82.38,-0.22,1449.3,0,3,2.6,-4.8,3.4,4.7,4.5,BB-
536,Telecom Italia S.p.A.,IFRS,Con,USD,EUR - USD 0.8237,26190.36,-0.07,10666.5,0.4,11771.88,1638.95,7420.18,6909.07,43184.41,50700.98,7250.21,6348.19,5656.19,201.53,490.47,13.35,43184.41,17,4.01,3.04,-7.73,4.56,4.34,4.09,BBB-
537,Telefonaktiebolaget LM Ericsson,IFRS,Con,USD,SEK - USD 9.0622,24564.45,-0.09,2536.36,0.1,2945.75,189.36,5923.18,886.43,2944.76,6219.9,1545.65,2208.07,1171.02,1353.2,-978.24,68.64,2944.76,11.59,11.95,3.79,-17.29,18.11,2.11,1.16,BBB-
538,Telefonos de Mexico S.A.B. de C.V.,Local GAAP,Con,USD,MXN - USD 12.3571,9190.13,-0.04,3717.75,0.4,3717.75,1244.97,606.41,967.18,6030.62,6030.62,2723.88,2782.99,734.93,707.04,1341.02,0.54,6030.62,-27.5,6.77,6.77,-9.6,8.01,1.62,1.62,A-
539,Telekom Malaysia Berhad,Local GAAP,Con,USD,MYR - USD 3.1770,2880.3,0.04,940.32,0.32,1060.34,374.88,1457.7,2.42,2017.75,2977.9,911.05,989.74,617.69,220.99,151.05,0,2017.75,-315.58,10.68,5.41,-16.72,9.35,2.82,2.15,A-
540,Telia Company AB,IFRS,Con,USD,SEK - USD 9.0622,9288.91,-0.02,2850.96,0.3,3046.39,1508.35,3939.05,1247.71,10102.18,11665.6,2602.9,2603.56,2044.76,1433.43,-874.62,-1323.08,10102.18,-0.55,10.31,6.41,-17.42,10.45,3.87,3.58,A-
541,Tenaris S.A.,Local GAAP,Con,USD,USD - USD 1.0000,4294,-0.39,603,0.14,603,18,2033,809,841,841,507,856,787,508,-439,-24,841,0,26.53,26.53,-62.82,31.32,1.41,1.41,A-
542,Teollisuuden Voima Oyj (TVO),Local GAAP,Con,USD,EUR - USD 0.9185,300.16,-0.15,60.86,0.2,61.19,5.01,207.4,537.83,5077.19,5079.8,-10.34,-24.61,166.79,4.68,-196.08,-30.59,5077.19,43.55,0.82,0.82,-20.25,0.51,81.29,81.67,BBB-
543,The Dun & Bradstreet Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,1703.7,0.04,484.5,0.28,516.9,101.5,9.7,22.5,1624.8,1884,296.2,322.7,60.2,70.5,192,-13,1624.8,44,6.68,4.5,-10.87,9.35,3.65,3.35,BBB-
544,The Mosaic Company,U.S. GAAP,Con,USD,USD - USD 1.0000,7162.8,-0.19,1060.7,0.14,1171.7,297.8,578.6,38.9,3825.5,4713.5,1243.5,1266.1,843.1,385.1,37.9,0,3825.5,-75,10.76,6.16,-11.43,8.78,3.91,3.5,BBB-
545,"Toll Brothers, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,5169.5,0.23,745.6,0.14,759,382.1,383.7,871.1,3580.2,4263.4,295.4,149.2,28.4,0,120.8,0,3580.2,-385.8,2.8,2.67,-4.9,4.64,5.5,4.7,BBB-
546,Trinity Industries Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,4588.3,-0.28,1049.1,0.22,1088.4,343.6,798.1,0,3086.7,3401.1,972.1,1063.8,933.4,66.7,63.7,-16,3086.7,-34.7,7.4,6.08,-10.97,6.77,3.2,3.02,BBB-
547,Turk Telekomunikasyon A.S.,Local GAAP,Con,USD,TRY - USD 2.9102,4990.34,0.06,1832.83,0.36,1960.31,311.83,975.12,889.29,3909.77,4547.18,1731.67,1513.06,1140.68,632.57,-260.19,9.45,3909.77,0,14.81,7.61,-15.92,15.64,2.32,2.13,BBB-
548,Turkcell Iletisim Hizmetleri A.S,IFRS,Con,USD,TRY - USD 3.5224,4003.21,0.1,1311.61,0.32,1549.4,435.56,1718.26,808,2668.21,3857.17,1263.14,896.6,1569.33,14.59,-687.32,0,2668.21,-18.62,9.83,4.02,-32.14,10.63,2.49,2.03,BBB-
549,Turkiye Petrol Rafinerileri A.S. (Tupras),IAS,Con,USD,TRY - USD 2.3210,17114.48,-0.03,325.67,0.01,335.98,628.59,1301.82,334.9,4322.14,4373.67,415.26,818.53,972.7,170.69,-416.13,0,4322.14,0,3.16,3.03,-7.92,2.15,11.95,12.15,BBB-
550,Union Carbide Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,4919,-0.15,1371,0.27,1399,89,11,26,0,224,548,687,267,500,-80,-60,0,0,15.05,9.09,-43.84,36.08,0.16,0,BBB-
551,United Technologies Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,57244,0.02,10233,0.17,10619,5065,501,2204,23900,26988,7622,6412,1699,2069,112,-211,23900,-2241,7.48,5.86,-10.31,8.84,2.54,2.34,A-
552,Uniti Group Inc.,U.S. GAAP,Noncon,USD,USD - USD 1.0000,770.41,0.61,690.18,0.89,691.02,1.34,171.75,0,4266.25,4229.17,376.7,375.99,46.44,367.83,-38.28,488.79,4310,54.21,2.46,2.46,-2.68,2.7,6.18,6.18,BB-
553,Universal Corporation,U.S. GAAP,Noncon,USD,USD - USD 1.0000,2071.22,-0.02,225.1,0.1,240.4,106.3,283.99,59.13,429.13,551.53,168.62,235.05,35.63,60.89,149.6,-2.17,429.13,-178.37,7.12,4.92,-17.02,13.89,2.28,1.9,BBB-
554,UPC Holding BV,U.S. GAAP,Con,USD,EUR - USD 0.9185,2770.6,0.08,1483.72,0.53,1550.03,-1102.67,151.33,597.39,6575.72,7172.46,978.66,592.49,715.84,1484.16,-1607.51,27,6575.72,0,3.26,2.96,-2.14,3.4,4.66,4.47,BB-
555,Valid Solucoes e Servicos de Seguranca em Meios de,IFRS,Con,USD,BRL - USD 3.2585,529.03,0.05,69.62,0.13,84.33,20.41,122.95,100.06,245.96,319.49,41.96,49.15,29.9,18.9,0.35,-20.56,245.96,0,2.7,2,-5.9,3.6,3.8,3.5,BB-
556,Ventrelt Holdings Ltd,IFRS,Con,USD,RUB - USD 72.8827,223.56,0.07,44.15,0.19,44.15,17.64,43.04,20.94,84.6,84.6,37,32.07,25.23,0,6.83,0,84.6,0,4.57,4.57,-6.64,4.54,1.92,1.92,BB-
557,Verizon Communications Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,125980,-0.04,45161,0.35,48761,13127,2880,2645,109258,148463,28351,22715,17059,9262,-3606,-5583,109258,3,7.93,4.68,-12.96,11.06,3.04,2.42,A-
558,Vinci S.A.,Local GAAP,Con,USD,EUR - USD 0.9487,40131.76,-0.01,6556.34,0.16,6845.16,2641.51,4802.36,5512.81,21634.87,23945.4,4555.71,4546.22,1612.73,1108.89,1824.6,3483.71,21634.87,-128.6,9.18,6.38,-14.68,11.97,3.46,3.27,A-
559,Virgin Media Inc.,U.S. GAAP,Con,USD,GBP - USD 0.8129,5912.29,0.04,2665.89,0.45,2726.9,-346.78,27.19,1290.93,13516.55,14004.67,1962.36,1864.56,1472.01,0,392.55,41.95,13516.55,0,3.7,3.49,-5.81,3.67,5.14,5.07,BB-
560,Volcan Compania Minera S.A.A.,U.S. GAAP,Con,USD,USD - USD 1.0000,821.55,0.03,303.65,0.36,305.19,84.41,161.83,281.18,843.68,854.46,116.01,212.99,113.63,15.14,84.23,0,843.68,0,3.96,3.84,-11.27,8.2,2.8,2.78,BBB-
561,Votorantim Cimentos S.A. (VCSA),IFRS,Con,USD,BRL - USD 3.2585,3896.47,-0.09,690.84,0.17,690.84,112.4,1261.6,353.77,4899.66,4899.66,74.42,305.27,572.22,3.19,-270.14,-235.45,4899.66,306.89,1.19,1.19,-3.35,1.85,6.88,6.88,BBB-
562,Votorantim S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,8205.62,-0.15,1207,0.14,1207,-315.18,3110.63,625.13,7604.11,7604.11,863.59,1030.54,928.65,32.22,69.66,-290.01,7604.11,0,2.58,2.58,-3.93,2.35,5.93,5.93,BBB-
563,VTR Finance B.V.,U.S. GAAP,Noncon,USD,CLP - USD 667.2900,870.09,0.06,343.18,0.39,357.57,-174.44,125.43,49.3,1308.73,1409.43,112.69,163.65,127.23,50.65,-14.24,0,1308.73,0,2.05,1.92,-4.67,3.3,3.94,3.81,BB-
564,Vulcan Materials Company,U.S. GAAP,Noncon,USD,USD - USD 1.0000,3592.7,0.04,981.2,0.27,1091.2,422.4,66,0.1,2004.1,2884.1,692.6,644.6,350.2,106.3,188.1,9.2,2004.1,-161.5,6.12,3.82,-10.18,7.27,2.64,2.04,BBB-
565,West China Cement Limited,Local GAAP,Con,USD,CNY - USD 6.1190,634.64,-0.06,176.26,0.27,176.26,5.87,80.99,121.78,659.1,659.1,104.9,134.16,97.91,14.86,21.39,4.81,659.1,-3.63,2.82,2.82,-5.19,3.08,3.74,3.74,BB-
566,"Western Gas Partners, LP",U.S. GAAP,Noncon,USD,USD - USD 1.0000,1804.27,0.15,921.07,0.51,956.97,591.33,357.93,0,3439.77,3407.2,929.41,938.82,479.99,671.94,-213.11,670.35,3759.55,711.94,9.57,7.41,-12.79,9.62,3.52,3.36,BBB-
567,Wharf (Holdings) Limited (The),IFRS,Con,USD,HKD - USD 7.7555,4917.28,0.19,2037.91,0.41,2046.03,4632.84,2414.42,1115.72,10055.32,10120.3,1378.76,2280.32,1454.06,683.77,142.48,-267.17,10055.32,0,4.94,4.85,-9.72,6.42,4.82,4.81,A-
568,Williams Partners L.P.,U.S. GAAP,Con,USD,USD - USD 1.0000,7491,0.02,3585,0.47,3644,431,145,878,18546,19018,3409,3938,1944,2531,-537,-678,18546,640,4.72,4.5,-5.89,3.91,5.22,5.17,BBB-
569,Wyndham Worldwide Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,5599,0.01,1398,0.24,1479,611,185,229,5548,5889,985,973,191,223,559,117,5548,-619,8.18,5.5,-12.65,10.28,3.98,3.97,BBB-
570,Xerox Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,10771,-0.4,1603,0.14,1760,616,1723,1542,7094,8350,1297,1030,138,331,662,5,7094,8,4.44,3.42,-10.39,4.51,4.79,4.47,BBB-
571,Yuexiu Transport Infrastructure Limited,IFRS,Con,USD,CNY - USD 6.4915,342.91,0.19,262.81,0.76,264.65,81.97,133.51,139.91,1467.92,1482.64,175.95,173.33,35.73,59.43,78.18,250.61,1467.92,0,4.28,4.17,-5.57,5.01,5.58,5.56,BBB-
572,Yuzhou Properties Company Limited,IFRS,Noncon,USD,CNY - USD 6.4915,1598.32,0.32,588.55,0.36,591.14,255.23,1840.68,614.24,3093.76,3114.46,253.48,-181.78,17.19,68.2,-267.17,135.71,3093.76,96,2.2,2.19,-2.49,2.4,6.47,6.46,BB-
573,Abbott Laboratories,U.S. GAAP,Con,USD,USD - USD 1.0000,20853,0.02,4881,0.23,5172,1063,4175,1325,22254,24582,4130,3203,1121,1539,543,55,22254,-274,23.27,9.54,-13.89,26.97,4.75,4.56,WD
574,Aerovias del Continente Americano S.A. (Avianca),Local GAAP,Con,USD,COP - USD 3149.4700,2485.96,0.26,233.82,0.09,449.76,-120.59,256.21,286.85,2438.63,3950.26,144.33,574.09,186.3,0,387.79,0,2438.63,0,2.1,1.4,-5.7,2.1,8.8,10.4,B
575,AES El Salvador Trust II,IFRS,Con,USD,USD - USD 1.0000,598.89,-0.18,80.46,0.13,80.46,24.42,39.9,18,326.62,326.62,35.75,55.28,39.2,26.1,-10.03,-0.49,326.62,0,2.25,2.25,-4.81,3.35,4.06,4.06,B-
576,Afren plc,IFRS,Con,USD,USD - USD 1.0000,945.8,-0.42,632.2,0.66,693.5,-1623.2,183.6,290.2,1381.8,1872.2,523,437.7,712.6,0,-274.9,0,1381.8,-0.5,6.18,4.22,-10.56,6.26,2.7,2.19,WD
577,Agri Business Holding Miratorg LLC,IFRS,Con,USD,RUB - USD 60.6569,1783.62,0.1,451.46,0.25,464.91,320.08,342.35,709.83,1341.05,1421.77,380.42,400.23,109.39,0,338.56,70.28,1341.05,0,2.9,2.75,-3.59,2.85,3.06,2.97,B+
578,Alberto-Culver Co.,U.S. GAAP,Con,USD,USD - USD 1.0000,1433.98,0,217.79,0.15,229.39,117.83,469.77,0.17,0.6,93.4,166.04,208.13,65.24,28.45,114.44,98.16,0.6,2.06,288.98,14.38,-446.41,385.46,0.41,0,WD
579,Ambev S.A.,Local GAAP,Con,USD,BRL - USD 2.3538,14780.78,0.07,7428.41,0.5,7456.03,4050.47,5024.64,442.26,1234.6,1455.52,6674.74,6534.96,1614.84,3062.71,1857.42,0.42,1234.6,64.58,35.97,31.39,-79.29,40.79,0.19,0.17,WD
580,"AMC Entertainment Holdings, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3235.85,0.09,566.12,0.17,1071.58,111.67,207.07,81.24,4509.81,8553.51,485.29,431.65,421.71,79.63,-69.69,915.94,4509.81,0,5.61,1.79,-12.29,5.37,7.98,7.97,B
581,Andino Investment Holding S.A.A.,IAS,Noncon,USD,PEN - USD 3.3560,192.59,-0.02,10.88,0.05,10.88,-15.86,7.22,17.01,135.85,135.85,-11.23,-5.77,1.45,0,-7.22,0,135.85,0,0.4,0.4,-0.7,0.6,12.5,12.5,CCC
582,Andrade Gutierrez Engenharia S.A.,IFRS,Con,USD,BRL - USD 3.2585,1204.42,-0.34,55.27,0.04,55.27,167.95,119.6,130.66,515.89,666.02,86.56,-89.39,10.86,62.39,-162.63,16.37,515.89,0,4.5,4.5,-1.8,5.3,9,7,B-
583,Arcor S.A.I.C.,IFRS,Con,USD,ARS - USD 15.9000,2378.12,0.37,241.23,0.1,257.68,28.56,140.48,244.78,597.75,712.92,89.42,32.27,97.48,15.41,-80.62,0,597.75,0,1.67,1.55,-3.54,3.16,2.87,2.57,B+
584,Arcos Dorados B.V.,U.S. GAAP,Con,USD,USD - USD 1.0000,2928.63,-0.04,238.44,0.08,412.9,78.81,194.8,55.01,617.21,1751.15,134.22,164.19,92.28,0,71.91,-113.47,617.21,0,2.75,1.53,-7.55,3.11,4.24,2.59,WD
585,Automotores Gildemeister S.p.A.,IFRS,Con,USD,CLP - USD 667.2900,1185.19,0.07,34.13,0.02,51.54,-36.8,24.02,66.91,577.9,699.71,-84.29,14.43,3.49,0,10.93,-25.05,577.9,0,-6.19,-1.9,-0.73,3.26,12.56,15.09,CCC
586,Avianca Holdings S.A.,U.S. GAAP,Con,USD,USD - USD 1.0000,4138.34,-0.05,564.99,0.13,879.48,44.19,375.75,406.74,3274.24,5475.69,378.57,417.82,176.2,31.82,209.8,0,3274.24,0,3.3,1.8,-6.9,3.6,6.2,5.8,B
587,"Avon Products, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,5717.7,-0.05,510,0.08,585,-93.6,654.4,18.1,2127.71,2505.36,390.8,128,93,0,-32.6,-13.3,2350.06,420.7,5.3,3.31,-4.96,5.86,4.66,4.17,B+
588,Ballarpur Industries Limited,Local GAAP,Noncon,USD,INR - USD 62.5908,586.48,0,91.76,0,91.76,-3.41,38.03,374.81,995.85,880.68,0,0,40.76,2.52,0,0,1111.01,0,0,0,-2.35,0,0,0,WD
589,"Beazer Homes USA, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,1822.1,0.11,155.9,0.08,160.6,5.2,128.9,0,1386.8,1424.4,43.5,163,12.2,0,150.8,-2.6,1386.8,0,1.36,1.35,-1.66,1.31,8.86,8.88,B-
590,BG Energy Holdings Ltd,IFRS,Con,USD,USD - USD 1.0000,19289,0,8968,0.46,9669,-1045,5295,1586,16491,21083,6046,7025,8510,999,-2484,92,17507,0,10.65,5.53,-12.65,14.75,2.24,1.8,WD
591,Biosev S.A.,IFRS,Noncon,USD,BRL - USD 3.1241,2248.66,0.14,435.92,0.19,588.53,-192.19,502.62,713.68,2849.44,3612.47,122.81,143.59,415.14,0,-271.55,-3.2,2849.44,0,1.8,1.4,-4.4,2.9,6.1,6.5,B+
592,Bombardier Inc.,IFRS,Con,USD,USD - USD 1.0000,16339,-0.1,690,0.04,860,-981,1384,31,10270.5,11400,-574,-5,1255,17,-1260,-54,10501,-43,-0.02,0.21,-2.32,1.33,12.59,13.62,B
593,Boyd Gaming Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,2184,0,536.3,0.24,567.3,205.6,68.9,30.3,3283.1,3531.1,313.8,302.9,160.4,0,114.7,592.7,3283.1,0,2.58,2.36,-3.43,2.73,6.2,6.09,B+
594,Cablevision S.A.,Local GAAP,Con,USD,ARS - USD 15.9000,1922.72,0.51,686.76,0.35,721.49,258.31,165.34,58.98,601.58,844.73,548.29,590.14,570.25,94.27,-74.39,127.81,601.58,0,9.7,6.5,-30.1,11.3,1.2,0.9,B
595,Cablevision Systems Corporation,Local GAAP,Con,USD,USD - USD 1.0000,6581.66,0.01,2196.7,0.33,2282.61,-165.59,216.62,1592.85,15990.59,16677.89,1190.47,925.86,630.3,4.07,270.49,-13.82,15990.59,-27.06,2.22,2.12,-3.26,2.25,7.31,7.28,B+
596,Camargo Correa S.A.,Local GAAP,Con,USD,BRL - USD 3.9042,3739.92,-0.25,479.25,0.12,584.66,-636.91,1814.78,775.63,5229.79,5756.85,235.02,229.9,111.97,44.93,73,-649.49,5229.79,0,1.55,1.44,-1.66,1.33,8.61,9.29,WD
597,CAMPOSOL Holding Ltd.,U.S. GAAP,Con,USD,USD - USD 1.0000,276.69,0.16,76.05,0.27,76.05,9.19,84.7,103.61,259.04,259.04,48,70.43,24.77,0,45.67,-2.16,259.04,5,3.28,3.28,-4.29,3.67,3.41,3.41,B-
598,"Caparra Hills, LLC",U.S. GAAP,Noncon,USD,USD - USD 1.0000,8.89,0.01,5.65,0.63,5.65,-0.63,4.52,1.64,53.82,53.82,1.74,1.81,1.5,0,0.31,0,53.82,0,1.5,1.5,-1.9,1.5,9.5,9.5,B+
599,Capex S.A.,Local GAAP,Con,USD,ARS - USD 8.8600,142.32,0.54,62.95,0.44,62.95,0.04,27.26,26,250.41,250.41,86.13,72.19,39.5,0,32.69,-15.91,250.41,0,4.59,4.59,-3.25,2.92,3.98,3.98,B
600,Celulosa Argentina S.A.,U.S. GAAP,Noncon,USD,ARS - USD 14.0000,293.91,0.28,49.33,0.16,49.33,-6.29,1.97,86.2,167.01,167.01,36.2,-14.71,11.35,0.56,-26.62,0,167.01,0,2.7,2.7,-2.5,2.5,3.4,3.4,WD
601,Centrais Eletricas do Para S.A. (Celpa),Local GAAP,Noncon,USD,BRL - USD 3.2585,1136.47,0.05,226.28,0.19,226.28,107.89,358.02,182.81,1083.75,1083.75,92.58,72.15,178.25,6.82,-112.92,0,1083.75,0,3.61,3.61,-8.21,9.65,4.79,4.79,WD
602,Cerberus Nightingale 1 S.A.,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WD
603,China Evergrande Group,IFRS,Con,USD,CNY - USD 6.9498,30424.47,0.58,5030.36,0.16,5099.57,732.54,30876.17,29260.7,93974.93,94528.62,118.85,-21919.77,2158.34,1686.24,-24757.12,0,93974.93,0,0.95,0.95,-1.59,1.1,18.54,18.68,B+
